"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","common.loading","Loading…","Wird geladen…","","",""
"web-app","common.cancel","Cancel","Abbrechen","","",""
"web-app","common.save","Save","Speichern","","",""
"web-app","common.close","Close","Schließen","","",""
"web-app","common.done","Done","Fertig","","",""
"web-app","common.connect","Connect","Verbinden","","",""
"web-app","common.edit","Edit","Bearbeiten","","",""
"web-app","common.remove","Remove","Entfernen","","",""
"web-app","common.tryAgain","Try again","Erneut versuchen","","",""
"web-app","common.actionFailed","Couldn't do that right now. Try again.","Das hat gerade nicht geklappt. Versuch es noch mal.","","",""
"web-app","common.retry","Retry","Erneut versuchen","","",""
"web-app","common.sending","Sending…","Wird gesendet…","","",""
"web-app","common.opening","Opening…","Wird geöffnet…","","",""
"web-app","common.working","Working…","Wird bearbeitet…","","",""
"web-app","common.signOut","Sign out","Abmelden","","",""
"web-app","common.decline","Decline","Ablehnen","","",""
"web-app","common.accept","Accept","Annehmen","","",""
"web-app","common.navigate","Navigate →","Route →","","",""
"web-app","common.player","Player","Spieler","","",""
"web-app","common.club","Club","Club","","",""
"web-app","common.unknownPlayer","Unknown player","Unbekannter Spieler","","",""
"web-app","common.homeTable","Home table","Heimtisch","","",""
"web-app","common.new","New","","","",""
"web-app","common.you"," (You)"," (Du)","","",""
"web-app","common.matchesNoun.one","match","Partie","","",""
"web-app","common.matchesNoun.other","matches","Partien","","",""
"web-app","common.matchLabel.one","Match","Partie","","",""
"web-app","common.matchLabel.other","Matches","Partien","","",""
"web-app","status.readyToPlay","Ready to play","Spielbereit","","",""
"web-app","status.openToPlay","Open to play","Spielbereit","","",""
"web-app","status.won","Won","Gewonnen","","",""
"web-app","status.lost","Lost","Verloren","","",""
"web-app","legal.terms","Terms of Service","Nutzungsbedingungen","","",""
"web-app","legal.privacy","Privacy Policy","Datenschutzrichtlinie","","",""
"web-app","legal.heading","Legal","Rechtliches","","",""
"web-app","legal.agreedVersions","You agreed to these versions when you signed in.","Du hast diesen Versionen bei der Anmeldung zugestimmt.","","",""
"web-app","consent.agree","I have read and agree to the","Ich akzeptiere die","","",""
"web-app","consent.and","and","und","","",""
"web-app","consent.age","I confirm I am at least {age} years old.","Ich bestätige, dass ich mindestens {age} Jahre alt bin.","","{age}",""
"web-app","tabs.map","Map","Karte","","",""
"web-app","tabs.connections","Connections","Kontakte","","",""
"web-app","tabs.challenges","Challenges","Duelle","","",""
"web-app","tabs.profile","Profile","Profil","","",""
"web-app","home.tagline","Find and challenge One Pocket players near you.","Finde One-Pocket-Spieler in deiner Nähe und fordere sie heraus.","","",""
"web-app","home.pitch","The map shows One Pocket clubs across Europe. Players connect, get invited, and arrange games in the app — see you at the table.","Die Karte zeigt One-Pocket-Clubs in ganz Europa. Spieler verbinden sich, laden einander ein und verabreden Spiele in der App — bis gleich am Tisch.","","",""
"web-app","home.getAppSub","Connect with players near you, set up a game, and track your record.","","","",""
"web-app","home.privacy","Privacy","Datenschutz","","",""
"web-app","home.legalContact","Legal contact","","","",""
"web-app","home.blog","Blog","Blog","","",""
"web-app","legal.contactPoints","Legal contact points","","","",""
"web-app","home.mapData","Map data ©","Kartendaten ©","","",""
"web-app","home.osm","OpenStreetMap","OpenStreetMap","","",""
"web-app","home.contributors","contributors","Mitwirkende","","",""
"web-app","home.followFacebook","8nOut on Facebook","8nOut auf Facebook","","",""
"web-app","home.followYouTube","8nOut on YouTube","8nOut auf YouTube","","",""
"web-app","venueMap.loading","Loading clubs…","Clubs werden geladen…","","",""
"web-app","venueMap.error","Couldn't load the club map right now — try again in a bit.","Die Club-Karte lässt sich gerade nicht laden — versuch es gleich noch mal.","","",""
"web-app","venueMap.poolClub","Pool club","Poolclub","","",""
"web-app","venueMap.resetView","Reset map view","Kartenansicht zurücksetzen","","",""
"web-app","signin.heading","Find and challenge One Pocket players near you.","Finde One-Pocket-Spieler in deiner Nähe und fordere sie heraus.","","",""
"web-app","signin.google","Continue with Google","Weiter mit Google","","",""
"web-app","signin.apple","Continue with Apple","Weiter mit Apple","","",""
"web-app","legalGate.title","One more thing","Noch eine Sache","","",""
"web-app","legalGate.body","We've updated our Terms of Service and Privacy Policy. Please review and agree to continue using 8nOut.","Wir haben unsere Nutzungsbedingungen und Datenschutzrichtlinie aktualisiert. Bitte lies sie und stimme zu, um 8nOut weiter zu nutzen.","","",""
"web-app","legalGate.saving","Saving…","Wird gespeichert…","","",""
"web-app","legalGate.agree","Agree and continue","Zustimmen und fortfahren","","",""
"web-app","legalGate.errSave","Couldn't save your agreement. Please try again.","Deine Zustimmung konnte nicht gespeichert werden. Bitte versuch es erneut.","","",""
"web-app","legalGate.errVerify","Couldn't verify your agreement. Please try again.","Deine Zustimmung konnte nicht bestätigt werden. Bitte versuch es erneut.","","",""
"web-app","legalGate.errGeneric","Something went wrong recording your agreement. Please try again.","Beim Speichern deiner Zustimmung ist etwas schiefgelaufen. Bitte versuch es erneut.","","",""
"web-app","onboarding.title","Welcome — link your CueScore profile","Willkommen — verknüpfe dein CueScore-Profil","","",""
