"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","common.loading","Loading…","Caricamento…","","",""
"web-app","common.cancel","Cancel","Annulla","","",""
"web-app","common.save","Save","Salva","","",""
"web-app","common.close","Close","Chiudi","","",""
"web-app","common.done","Done","Fatto","","",""
"web-app","common.connect","Connect","Connetti","","",""
"web-app","common.edit","Edit","Modifica","","",""
"web-app","common.remove","Remove","Rimuovi","","",""
"web-app","common.tryAgain","Try again","Riprova","","",""
"web-app","common.actionFailed","Couldn't do that right now. Try again.","Non è stato possibile farlo proprio ora. Riprova.","","",""
"web-app","common.retry","Retry","Ritenta","","",""
"web-app","common.sending","Sending…","Invio…","","",""
"web-app","common.opening","Opening…","Apertura…","","",""
"web-app","common.working","Working…","Elaborazione…","","",""
"web-app","common.signOut","Sign out","Esci","","",""
"web-app","common.decline","Decline","Rifiuta","","",""
"web-app","common.accept","Accept","Accetta","","",""
"web-app","common.navigate","Navigate →","Naviga →","","",""
"web-app","common.player","Player","Giocatore","","",""
"web-app","common.club","Club","Club","","",""
"web-app","common.unknownPlayer","Unknown player","Giocatore sconosciuto","","",""
"web-app","common.homeTable","Home table","Tavolo di casa","","",""
"web-app","common.new","New","Nuovo","","",""
"web-app","common.you"," (You)"," (Tu)","","",""
"web-app","common.matchesNoun.one","match","partita","","",""
"web-app","common.matchesNoun.other","matches","partite","","",""
"web-app","common.matchLabel.one","Match","Partita","","",""
"web-app","common.matchLabel.other","Matches","Partite","","",""
"web-app","status.readyToPlay","Ready to play","Pronto a giocare","","",""
"web-app","status.openToPlay","Open to play","Disponibile a giocare","","",""
"web-app","status.won","Won","Vinta","","",""
"web-app","status.lost","Lost","Persa","","",""
"web-app","legal.terms","Terms of Service","Termini di Servizio","","",""
"web-app","legal.privacy","Privacy Policy","Informativa sulla Privacy","","",""
"web-app","legal.heading","Legal","Legale","","",""
"web-app","legal.agreedVersions","You agreed to these versions when you signed in.","Hai accettato queste versioni quando hai effettuato l'accesso.","","",""
"web-app","consent.agree","I have read and agree to the","Ho letto e accetto:","","",""
"web-app","consent.and","and","e","","",""
"web-app","consent.age","I confirm I am at least {age} years old.","Confermo di avere almeno {age} anni.","","{age}",""
"web-app","tabs.map","Map","Mappa","","",""
"web-app","tabs.connections","Connections","Connessioni","","",""
"web-app","tabs.challenges","Challenges","Sfide","","",""
"web-app","tabs.profile","Profile","Profilo","","",""
"web-app","home.tagline","Find and challenge One Pocket players near you.","Trova giocatori di One Pocket vicino a te e sfidali.","","",""
"web-app","home.pitch","The map shows One Pocket clubs across Europe. Players connect, get invited, and arrange games in the app — see you at the table.","La mappa mostra i circoli di One Pocket in tutta Europa. I giocatori si connettono, ricevono inviti e organizzano partite nell'app — ci vediamo al tavolo.","","",""
"web-app","home.getAppSub","Connect with players near you, set up a game, and track your record.","Connettiti con giocatori vicino a te, organizza una partita e tieni traccia del tuo bilancio.","","",""
"web-app","home.privacy","Privacy","Privacy","","",""
"web-app","home.legalContact","Legal contact","Contatto legale","","",""
"web-app","home.blog","Blog","Blog","","",""
"web-app","legal.contactPoints","Legal contact points","Punti di contatto legale","","",""
"web-app","home.mapData","Map data ©","Dati mappa ©","","",""
"web-app","home.osm","OpenStreetMap","OpenStreetMap","","",""
"web-app","home.contributors","contributors","collaboratori","","",""
"web-app","home.followFacebook","8nOut on Facebook","8nOut su Facebook","","",""
"web-app","home.followYouTube","8nOut on YouTube","8nOut su YouTube","","",""
"web-app","venueMap.loading","Loading clubs…","Caricamento club…","","",""
"web-app","venueMap.error","Couldn't load the club map right now — try again in a bit.","Non è stato possibile caricare la mappa dei club in questo momento — riprova tra poco.","","",""
"web-app","venueMap.poolClub","Pool club","Circolo di biliardo","","",""
"web-app","venueMap.resetView","Reset map view","Reimposta la vista della mappa","","",""
"web-app","signin.heading","Find and challenge One Pocket players near you.","Trova giocatori di One Pocket vicino a te e sfidali.","","",""
"web-app","signin.google","Continue with Google","Continua con Google","","",""
"web-app","signin.apple","Continue with Apple","Continua con Apple","","",""
"web-app","legalGate.title","One more thing","Un'ultima cosa","","",""
"web-app","legalGate.body","We've updated our Terms of Service and Privacy Policy. Please review and agree to continue using 8nOut.","Abbiamo aggiornato i nostri Termini di Servizio e l'Informativa sulla Privacy. Consultali e accettali per continuare a usare 8nOut.","","",""
"web-app","legalGate.saving","Saving…","Salvataggio…","","",""
"web-app","legalGate.agree","Agree and continue","Accetta e continua","","",""
"web-app","legalGate.errSave","Couldn't save your agreement. Please try again.","Non è stato possibile salvare la tua accettazione. Riprova.","","",""
"web-app","legalGate.errVerify","Couldn't verify your agreement. Please try again.","Non è stato possibile verificare la tua accettazione. Riprova.","","",""
"web-app","legalGate.errGeneric","Something went wrong recording your agreement. Please try again.","Si è verificato un problema nel registrare la tua accettazione. Riprova.","","",""
"web-app","onboarding.title","Welcome — link your CueScore profile","Benvenuto — collega il tuo profilo CueScore","","",""
