"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","common.loading","Loading…","Laster…","","",""
"web-app","common.cancel","Cancel","Avbryt","","",""
"web-app","common.save","Save","Lagre","","",""
"web-app","common.close","Close","Lukk","","",""
"web-app","common.done","Done","Ferdig","","",""
"web-app","common.connect","Connect","Koble til","","",""
"web-app","common.edit","Edit","Rediger","","",""
"web-app","common.remove","Remove","Fjern","","",""
"web-app","common.tryAgain","Try again","Prøv igjen","","",""
"web-app","common.actionFailed","Couldn't do that right now. Try again.","Klarte ikke å gjøre det akkurat nå. Prøv igjen.","","",""
"web-app","common.retry","Retry","Prøv igjen","","",""
"web-app","common.sending","Sending…","Sender…","","",""
"web-app","common.opening","Opening…","Åpner…","","",""
"web-app","common.working","Working…","Jobber…","","",""
"web-app","common.signOut","Sign out","Logg ut","","",""
"web-app","common.decline","Decline","Avslå","","",""
"web-app","common.accept","Accept","Godta","","",""
"web-app","common.navigate","Navigate →","Naviger →","","",""
"web-app","common.player","Player","Spiller","","",""
"web-app","common.club","Club","Klubb","","",""
"web-app","common.unknownPlayer","Unknown player","Ukjent spiller","","",""
"web-app","common.homeTable","Home table","Hjemmebord","","",""
"web-app","common.new","New","","","",""
"web-app","common.you"," (You)"," (Deg)","","",""
"web-app","common.matchesNoun.one","match","kamp","","",""
"web-app","common.matchesNoun.other","matches","kamper","","",""
"web-app","common.matchLabel.one","Match","Kamp","","",""
"web-app","common.matchLabel.other","Matches","Kamper","","",""
"web-app","status.readyToPlay","Ready to play","Klar for spill","","",""
"web-app","status.openToPlay","Open to play","Klar for spill","","",""
"web-app","status.won","Won","Vunnet","","",""
"web-app","status.lost","Lost","Tapt","","",""
"web-app","legal.terms","Terms of Service","Bruksvilkår","","",""
"web-app","legal.privacy","Privacy Policy","Personvernerklæring","","",""
"web-app","legal.heading","Legal","Juridisk","","",""
"web-app","legal.agreedVersions","You agreed to these versions when you signed in.","Du godtok disse versjonene da du logget inn.","","",""
"web-app","consent.agree","I have read and agree to the","Jeg godtar","","",""
"web-app","consent.and","and","og","","",""
"web-app","consent.age","I confirm I am at least {age} years old.","Jeg bekrefter at jeg er minst {age} år gammel.","","{age}",""
"web-app","tabs.map","Map","Kart","","",""
"web-app","tabs.connections","Connections","Kontakter","","",""
"web-app","tabs.challenges","Challenges","Utfordringer","","",""
"web-app","tabs.profile","Profile","Profil","","",""
"web-app","home.tagline","Find and challenge One Pocket players near you.","Finn One Pocket-spillere i nærheten – og utfordre dem.","","",""
"web-app","home.pitch","The map shows One Pocket clubs across Europe. Players connect, get invited, and arrange games in the app — see you at the table.","Kartet viser One Pocket-klubber over hele Europa. Spillere kobler seg sammen, inviterer hverandre og avtaler spill i appen — vi ses ved bordet.","","",""
"web-app","home.getAppSub","Connect with players near you, set up a game, and track your record.","","","",""
"web-app","home.privacy","Privacy","Personvern","","",""
"web-app","home.legalContact","Legal contact","","","",""
"web-app","home.blog","Blog","Blogg","","",""
"web-app","legal.contactPoints","Legal contact points","","","",""
"web-app","home.mapData","Map data ©","Kartdata ©","","",""
"web-app","home.osm","OpenStreetMap","OpenStreetMap","","",""
"web-app","home.contributors","contributors","bidragsytere","","",""
"web-app","home.followFacebook","8nOut on Facebook","8nOut på Facebook","","",""
"web-app","home.followYouTube","8nOut on YouTube","8nOut på YouTube","","",""
"web-app","venueMap.loading","Loading clubs…","Laster klubber…","","",""
"web-app","venueMap.error","Couldn't load the club map right now — try again in a bit.","Får ikke lastet klubbkartet akkurat nå — prøv igjen om litt.","","",""
"web-app","venueMap.poolClub","Pool club","Biljardklubb","","",""
"web-app","venueMap.resetView","Reset map view","Nullstill kartvisning","","",""
"web-app","signin.heading","Find and challenge One Pocket players near you.","Finn One Pocket-spillere i nærheten – og utfordre dem.","","",""
"web-app","signin.google","Continue with Google","Fortsett med Google","","",""
"web-app","signin.apple","Continue with Apple","Fortsett med Apple","","",""
"web-app","legalGate.title","One more thing","Én ting til","","",""
"web-app","legalGate.body","We've updated our Terms of Service and Privacy Policy. Please review and agree to continue using 8nOut.","Vi har oppdatert Vilkår for bruk og Personvernerklæringen. Les gjennom og godta for å fortsette å bruke 8nOut.","","",""
"web-app","legalGate.saving","Saving…","Lagrer…","","",""
"web-app","legalGate.agree","Agree and continue","Godta og fortsett","","",""
"web-app","legalGate.errSave","Couldn't save your agreement. Please try again.","Klarte ikke å lagre samtykket. Prøv igjen.","","",""
"web-app","legalGate.errVerify","Couldn't verify your agreement. Please try again.","Klarte ikke å bekrefte samtykket. Prøv igjen.","","",""
"web-app","legalGate.errGeneric","Something went wrong recording your agreement. Please try again.","Noe gikk galt da samtykket skulle registreres. Prøv igjen.","","",""
"web-app","onboarding.title","Welcome — link your CueScore profile","Velkommen — koble til CueScore-profilen din","","",""
"web-app","onboarding.body","Pull in your name and photo so other One Pocket players recognise you. You can always do this later in Profile.","Hent inn navn og bilde så andre One Pocket-spillere kjenner deg igjen. Du kan også gjøre dette senere i profilen.","","",""
"web-app","onboarding.field","CueScore player ID or profile link","CueScore-spiller-ID eller profillenke","","",""
"web-app","onboarding.placeholder","1161837 or cuescore.com/player/…","1161837 eller cuescore.com/player/…","","",""
"web-app","onboarding.skip","Skip for now","Hopp over nå","","",""
"web-app","onboarding.linking","Linking…","Kobler til…","","",""
"web-app","onboarding.link","Link CueScore","Koble til CueScore","","",""
"web-app","install.cta","Install 8nOut for one-tap access","Installer 8nOut for tilgang med ett trykk","","",""
