"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","common.loading","Loading…","Laden…","","",""
"web-app","common.back","Back","","","",""
"web-app","common.cancel","Cancel","Annuleren","","",""
"web-app","common.save","Save","Opslaan","","",""
"web-app","common.close","Close","Sluiten","","",""
"web-app","common.done","Done","Klaar","","",""
"web-app","common.connect","Connect","Verbinden","","",""
"web-app","common.edit","Edit","Bewerken","","",""
"web-app","common.remove","Remove","Verwijderen","","",""
"web-app","common.tryAgain","Try again","Opnieuw proberen","","",""
"web-app","common.actionFailed","Couldn't do that right now. Try again.","Dat lukte nu even niet. Probeer het opnieuw.","","",""
"web-app","common.errIncompleteSignup","Finish setting up your account first.","","","",""
"web-app","common.retry","Retry","Opnieuw proberen","","",""
"web-app","common.sending","Sending…","Verzenden…","","",""
"web-app","common.opening","Opening…","Openen…","","",""
"web-app","common.working","Working…","Bezig…","","",""
"web-app","common.signOut","Sign out","Uitloggen","","",""
"web-app","common.decline","Decline","Afwijzen","","",""
"web-app","common.accept","Accept","Accepteren","","",""
"web-app","common.navigate","Navigate →","Navigeren →","","",""
"web-app","common.player","Player","Speler","","",""
"web-app","common.club","Club","Club","","",""
"web-app","common.unknownPlayer","Unknown player","Onbekende speler","","",""
"web-app","common.homeTable","Home table","Eigen tafel","","",""
"web-app","common.new","New","","","",""
"web-app","common.you"," (You)"," (Jij)","","",""
"web-app","common.matchesNoun.one","match","partij","","",""
"web-app","common.matchesNoun.other","matches","partijen","","",""
"web-app","common.matchLabel.one","Match","Partij","","",""
"web-app","common.matchLabel.other","Matches","Partijen","","",""
"web-app","status.readyToPlay","Ready to play","Klaar om te spelen","","",""
"web-app","status.openToPlay","Open to play","Open om te spelen","","",""
"web-app","status.won","Won","Gewonnen","","",""
"web-app","status.lost","Lost","Verloren","","",""
"web-app","legal.terms","Terms of Service","Servicevoorwaarden","","",""
"web-app","legal.privacy","Privacy Policy","Privacybeleid","","",""
"web-app","legal.heading","Legal","Juridisch","","",""
"web-app","legal.agreedTag","agreed","akkoord","","",""
"web-app","consent.agree","I have read and agree to the","Ik ga akkoord met de","","",""
"web-app","consent.and","and","en","","",""
"web-app","consent.age","I confirm I am at least {age} years old.","Ik bevestig dat ik minstens {age} jaar oud ben.","","{age}",""
"web-app","tabs.map","Map","Kaart","","",""
"web-app","tabs.connections","Connections","Connecties","","",""
"web-app","tabs.challenges","Challenges","Uitdagingen","","",""
"web-app","tabs.profile","Profile","Profiel","","",""
"web-app","home.tagline","Find and challenge One Pocket players near you.","Vind One Pocket-spelers bij jou in de buurt en daag ze uit.","","",""
"web-app","home.pitch","The map shows One Pocket clubs across Europe. Players connect, get invited, and arrange games in the app — see you at the table.","De kaart toont One Pocket-clubs door heel Europa. Spelers maken connectie, nodigen elkaar uit en spreken af in de app — tot bij de tafel.","","",""
