"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","common.loading","Loading…","Cargando…","","",""
"web-app","common.cancel","Cancel","Cancelar","","",""
"web-app","common.save","Save","Guardar","","",""
"web-app","common.close","Close","Cerrar","","",""
"web-app","common.done","Done","Hecho","","",""
"web-app","common.connect","Connect","Conectar","","",""
"web-app","common.edit","Edit","Editar","","",""
"web-app","common.remove","Remove","Quitar","","",""
"web-app","common.tryAgain","Try again","Inténtalo de nuevo","","",""
"web-app","common.actionFailed","Couldn't do that right now. Try again.","Ahora mismo no se ha podido hacer. Inténtalo de nuevo.","","",""
"web-app","common.retry","Retry","Reintentar","","",""
"web-app","common.sending","Sending…","Enviando…","","",""
"web-app","common.opening","Opening…","Abriendo…","","",""
"web-app","common.working","Working…","Procesando…","","",""
"web-app","common.signOut","Sign out","Cerrar sesión","","",""
"web-app","common.decline","Decline","Rechazar","","",""
"web-app","common.accept","Accept","Aceptar","","",""
"web-app","common.navigate","Navigate →","Navegar →","","",""
"web-app","common.player","Player","Jugador","","",""
"web-app","common.club","Club","Club","","",""
"web-app","common.unknownPlayer","Unknown player","Jugador desconocido","","",""
"web-app","common.homeTable","Home table","Mesa propia","","",""
"web-app","common.new","New","Nuevo","","",""
"web-app","common.you"," (You)"," (Tú)","","",""
"web-app","common.matchesNoun.one","match","partida","","",""
"web-app","common.matchesNoun.other","matches","partidas","","",""
"web-app","common.matchLabel.one","Match","Partida","","",""
"web-app","common.matchLabel.other","Matches","Partidas","","",""
"web-app","status.readyToPlay","Ready to play","Listo para jugar","","",""
"web-app","status.openToPlay","Open to play","Abierto a jugar","","",""
"web-app","status.won","Won","Ganada","","",""
"web-app","status.lost","Lost","Perdida","","",""
"web-app","legal.terms","Terms of Service","Términos del Servicio","","",""
"web-app","legal.privacy","Privacy Policy","Política de Privacidad","","",""
"web-app","legal.heading","Legal","Legal","","",""
"web-app","legal.agreedVersions","You agreed to these versions when you signed in.","Aceptaste estas versiones al iniciar sesión.","","",""
"web-app","consent.agree","I have read and agree to the","He leído y acepto:","","",""
"web-app","consent.and","and","y","","",""
"web-app","consent.age","I confirm I am at least {age} years old.","Confirmo que tengo al menos {age} años.","","{age}",""
"web-app","tabs.map","Map","Mapa","","",""
"web-app","tabs.connections","Connections","Conexiones","","",""
"web-app","tabs.challenges","Challenges","Desafíos","","",""
"web-app","tabs.profile","Profile","Perfil","","",""
"web-app","home.tagline","Find and challenge One Pocket players near you.","Encuentra jugadores de One Pocket cerca de ti y desafíalos.","","",""
"web-app","home.pitch","The map shows One Pocket clubs across Europe. Players connect, get invited, and arrange games in the app — see you at the table.","El mapa muestra clubes de One Pocket en toda Europa. Los jugadores se conectan, reciben invitaciones y organizan partidas en la app — nos vemos en la mesa.","","",""
"web-app","home.getAppSub","Connect with players near you, set up a game, and track your record.","Conéctate con jugadores cerca de ti, organiza una partida y sigue tu historial.","","",""
"web-app","home.privacy","Privacy","Privacidad","","",""
"web-app","home.legalContact","Legal contact","Contacto legal","","",""
"web-app","home.blog","Blog","Blog","","",""
"web-app","legal.contactPoints","Legal contact points","Puntos de contacto legal","","",""
"web-app","home.mapData","Map data ©","Datos del mapa ©","","",""
"web-app","home.osm","OpenStreetMap","OpenStreetMap","","",""
"web-app","home.contributors","contributors","colaboradores","","",""
"web-app","home.followFacebook","8nOut on Facebook","8nOut en Facebook","","",""
"web-app","home.followYouTube","8nOut on YouTube","8nOut en YouTube","","",""
"web-app","venueMap.loading","Loading clubs…","Cargando clubes…","","",""
"web-app","venueMap.error","Couldn't load the club map right now — try again in a bit.","No se ha podido cargar el mapa de clubes ahora mismo — inténtalo de nuevo en un momento.","","",""
"web-app","venueMap.poolClub","Pool club","Club de billar","","",""
"web-app","venueMap.resetView","Reset map view","Restablecer vista del mapa","","",""
"web-app","signin.heading","Find and challenge One Pocket players near you.","Encuentra jugadores de One Pocket cerca de ti y desafíalos.","","",""
"web-app","signin.google","Continue with Google","Continuar con Google","","",""
"web-app","signin.apple","Continue with Apple","Continuar con Apple","","",""
"web-app","legalGate.title","One more thing","Una cosa más","","",""
"web-app","legalGate.body","We've updated our Terms of Service and Privacy Policy. Please review and agree to continue using 8nOut.","Hemos actualizado nuestros Términos del Servicio y nuestra Política de Privacidad. Revísalos y acéptalos para seguir usando 8nOut.","","",""
"web-app","legalGate.saving","Saving…","Guardando…","","",""
"web-app","legalGate.agree","Agree and continue","Aceptar y continuar","","",""
"web-app","legalGate.errSave","Couldn't save your agreement. Please try again.","No se ha podido guardar tu aceptación. Inténtalo de nuevo.","","",""
